campaign_id,platform,campaign_objective,industry_sector,influencer_partnership,team_experience_level,campaign_duration_days,daily_budget_kes,total_campaign_spend_kes,target_audience_size,creative_count,avg_engagement_rate_pct,click_through_rate_pct,previous_campaign_success_score,influencer_fee_kes,campaign_roi_pct
1,Facebook,Consideration,Retail,No,Expert,33.0,8249.0,268943.0,131281.0,2,2.446478461311485,1.87,38.4,,16.72
2,Instagram,Conversion,Retail,Yes,Expert,11.0,5929.0,62336.0,459747.0,8,4.939851237983738,4.04,40.2,60540.94600368641,68.21
3,TikTok,Consideration,Education,No,Intermediate,17.0,5013.0,86303.0,35501.0,3,3.434752581798044,2.85,32.3,,31.35
4,Instagram,Consideration,Hospitality,No,Expert,12.0,7437.0,94347.0,11423.0,11,3.624918231056561,2.6,52.6,,33.11
5,TikTok,Consideration,Hospitality,Yes,Intermediate,13.0,18957.0,232443.0,20197.0,4,4.272548797616889,2.02,25.6,21263.212496873723,39.04
6,Facebook,Awareness,Technology,No,Novice,13.0,5388.0,71413.0,21432.0,7,3.832326569934052,1.88,51.7,,17.71
7,Instagram,Conversion,Hospitality,Yes,Expert,24.0,6559.0,169408.0,41704.0,10,1.864800377907532,3.18,90.9,14591.895353755193,44.72
8,TikTok,Consideration,Retail,No,Expert,15.0,1868.0,27702.0,37688.0,2,,1.41,97.6,,33.61
9,Facebook,Consideration,Retail,No,Intermediate,9.0,1898.0,17486.0,22179.0,5,2.357042688362327,1.72,100.0,,13.53
10,Instagram,Consideration,Finance,No,Intermediate,18.0,3520.0,58602.0,26563.0,6,4.892229235463323,2.68,58.3,,29.8
11,Instagram,Conversion,Retail,No,Expert,8.0,3578.0,28326.0,190689.0,4,1.3757250958272325,1.09,48.8,,30.64
12,Facebook,Conversion,Finance,No,Novice,5.0,11482.0,49849.0,55624.0,4,2.808466244203297,0.33,29.7,,-5.73
13,Email,Awareness,Hospitality,Yes,Novice,13.0,1871.0,25367.0,242594.0,6,3.291090720646829,1.36,56.6,29809.60221864917,16.08
14,Google Ads,Awareness,Hospitality,No,Intermediate,21.0,19108.0,433038.0,72484.0,6,3.836556583071645,0.22,66.3,,16.67
15,TikTok,Conversion,Hospitality,No,Intermediate,25.0,1383.0,37211.0,23211.0,5,0.928967535525147,2.77,63.5,,22.38
16,Google Ads,Conversion,Retail,No,Expert,26.0,3278.0,84289.0,205631.0,4,1.7678481708649272,2.67,70.3,,24.0
17,Facebook,Conversion,Finance,No,Intermediate,11.0,7497.0,76918.0,114998.0,3,5.0042675716088745,1.08,88.7,,38.06
18,Instagram,Awareness,Education,No,Novice,22.0,12095.0,270028.0,34618.0,8,1.569585583921236,1.12,57.4,,12.34
19,Email,Consideration,Technology,No,Intermediate,26.0,10746.0,294579.0,28489.0,8,4.001638396321551,3.48,71.8,,40.73
20,Facebook,Consideration,Finance,No,Novice,12.0,5888.0,73661.0,126909.0,6,1.5576378314317272,1.7,36.0,,-1.36
21,Facebook,Consideration,Finance,Yes,Intermediate,3.0,4211.0,12813.0,28735.0,5,3.236024774472215,1.14,100.0,34389.6872739442,57.9
22,Google Ads,Consideration,Technology,No,Expert,20.0,12438.0,248026.0,115495.0,4,1.339178686604666,3.09,100.0,,63.6
23,Instagram,Awareness,Finance,No,Novice,7.0,25168.0,173366.0,131594.0,5,0.612083257319294,1.82,71.9,,8.77
24,Instagram,Awareness,Retail,Yes,Novice,19.0,7858.0,148638.0,71708.0,6,2.171553051830973,2.34,33.5,30528.464685098534,10.87
25,Facebook,Consideration,Retail,No,Expert,19.0,14983.0,280750.0,370391.0,3,2.585872871445749,1.53,74.8,,38.77
26,Google Ads,Awareness,Hospitality,Yes,Intermediate,22.0,6580.0,140794.0,49411.0,7,5.391620543458293,0.77,75.1,102218.00006675262,26.74
27,Facebook,Awareness,Retail,No,Intermediate,23.0,5144.0,124853.0,165901.0,9,2.7269670880283603,2.75,38.3,,26.54
28,Google Ads,Awareness,Finance,No,Novice,16.0,13411.0,201097.0,91360.0,2,3.7177927110501874,1.3,62.7,,21.53
29,Facebook,Awareness,Finance,Yes,Intermediate,5.0,11877.0,61025.0,99991.0,8,,1.92,60.7,139885.80312677033,10.56
30,Google Ads,Consideration,Technology,No,Expert,15.0,14889.0,209824.0,197082.0,3,4.482883808446246,0.02,44.8,,15.24
31,Google Ads,Consideration,Finance,No,Novice,7.0,6079.0,41096.0,119240.0,4,3.5595661625128283,2.19,62.6,,29.76
32,Google Ads,Awareness,Hospitality,Yes,Novice,6.0,30623.0,185812.0,102451.0,5,2.29377814811754,1.38,39.0,10805.23272729067,-7.64
33,Google Ads,Consideration,Retail,No,Intermediate,31.0,8688.0,262416.0,47348.0,6,2.3283388972593597,1.67,88.6,,31.44
34,Instagram,Awareness,Finance,No,Novice,13.0,5405.0,70656.0,69870.0,3,6.9949275438838585,0.02,68.0,,24.51
35,Google Ads,Conversion,Retail,Yes,Novice,9.0,13638.0,121123.0,141942.0,4,2.030640032693766,2.51,69.1,88588.56331095831,17.65
36,TikTok,Consideration,Finance,Yes,Intermediate,15.0,14809.0,224624.0,125082.0,3,5.354845161360346,1.91,52.0,177435.4375714111,48.22
37,Email,Awareness,Hospitality,Yes,Expert,12.0,4141.0,47939.0,83421.0,5,2.5682957685715673,1.09,93.5,39296.23971528557,32.25
38,Google Ads,Conversion,Education,No,Expert,9.0,5693.0,52824.0,210975.0,5,0.3865275630024514,3.13,59.5,,14.5
39,Email,Awareness,Retail,No,Novice,26.0,13605.0,346870.0,35884.0,4,3.914230671722108,1.97,100.0,,21.56
40,TikTok,Consideration,Education,No,Intermediate,3.0,4089.0,12532.0,95752.0,9,,3.75,57.4,,30.65
41,Google Ads,Consideration,Education,No,Intermediate,13.0,879.0,12622.0,157787.0,6,2.455163338502107,2.02,36.5,,22.72
42,Facebook,Awareness,Retail,Yes,Novice,17.0,10193.0,188899.0,23518.0,4,3.0682246445556816,0.02,69.5,114734.05608823163,13.48
43,TikTok,Conversion,Retail,No,Intermediate,20.0,4963.0,96260.0,10596.0,6,3.06486469170258,0.36,98.4,,29.35
44,Instagram,Awareness,Education,No,Expert,28.0,5973.0,166580.0,12100.0,8,0.9744158148645492,0.62,59.5,,2.14
45,TikTok,Conversion,Technology,No,Expert,5.0,6281.0,32130.0,118261.0,7,2.412760004900017,1.4,39.2,,13.94
46,Google Ads,Conversion,Education,Yes,Intermediate,7.0,15227.0,96425.0,369479.0,5,2.0781116514059934,1.77,56.1,26896.075597142848,33.74
47,Facebook,Conversion,Technology,Yes,Novice,3.0,4534.0,13724.0,192773.0,4,3.6840625389467068,3.41,67.7,30315.34733772174,47.37
48,Facebook,Awareness,Hospitality,Yes,Intermediate,24.0,9159.0,229308.0,9050.0,3,2.581432066500847,2.83,44.4,48969.31220791381,20.35
49,Facebook,Consideration,Finance,Yes,Novice,18.0,8281.0,155718.0,112548.0,3,3.446353458453536,0.74,78.8,98877.74455985554,3.47
50,Facebook,Conversion,Finance,No,Intermediate,11.0,2023.0,20835.0,10026.0,3,4.365913204119152,2.1,45.4,,44.74
51,Facebook,Conversion,Retail,No,Expert,4.0,7401.0,31027.0,97516.0,4,5.565738532123209,0.48,75.2,,47.94
52,Instagram,Awareness,Finance,No,Novice,6.0,10872.0,61745.0,50624.0,4,3.71561995459578,1.43,59.0,,9.36
53,Google Ads,Conversion,Technology,No,Intermediate,27.0,6371.0,171950.0,75017.0,3,2.7566061346663093,2.69,79.3,,40.85
54,Instagram,Awareness,Hospitality,No,Novice,13.0,4715.0,57490.0,108678.0,5,4.426613284817581,1.15,55.6,,2.5
55,Facebook,Awareness,Technology,No,Expert,11.0,19741.0,209671.0,116830.0,7,6.006535696477747,1.52,33.1,,14.81
56,Facebook,Awareness,Hospitality,No,Novice,6.0,22400.0,140416.0,38883.0,5,2.999291820176476,0.02,70.6,,6.8
57,TikTok,Conversion,Retail,No,Intermediate,23.0,3943.0,94182.0,285627.0,6,4.258617620277717,1.26,42.1,,26.15
58,Google Ads,Consideration,Hospitality,Yes,Expert,16.0,7065.0,105456.0,84310.0,8,3.658006759643194,1.74,28.5,25822.863032540845,30.63
59,Email,Conversion,Technology,No,Intermediate,20.0,9985.0,198981.0,70324.0,4,4.332060454569572,2.08,37.6,,29.1
60,TikTok,Consideration,Finance,Yes,Novice,5.0,5193.0,28643.0,18599.0,6,0.05,1.85,33.5,56924.85959911179,3.34
61,Instagram,Awareness,Retail,No,Expert,21.0,3264.0,66630.0,122806.0,5,3.704732578847805,2.43,62.9,,45.36
62,Facebook,Awareness,Hospitality,No,Expert,13.0,8178.0,101953.0,354655.0,6,3.2880413893604112,2.61,45.7,,37.63
63,Instagram,Consideration,Hospitality,Yes,Intermediate,10.0,6130.0,63235.0,64430.0,7,4.804365574427189,0.76,46.5,12087.370255649146,31.43
64,Email,Consideration,Finance,No,Novice,21.0,7200.0,149949.0,76834.0,11,2.5690713900850537,1.11,67.8,,4.94
65,TikTok,Awareness,Hospitality,No,Expert,28.0,9554.0,264497.0,121507.0,7,0.05,1.51,81.6,,-3.46
66,Instagram,Conversion,Retail,No,Intermediate,7.0,1156.0,8591.0,89434.0,4,1.4500842964706941,1.44,88.6,,15.92
67,Facebook,Conversion,Hospitality,No,Novice,18.0,3075.0,55898.0,56689.0,6,3.8304893058660205,1.97,79.4,,1.03
68,Google Ads,Consideration,Education,No,Intermediate,6.0,849.0,5541.0,109344.0,4,6.482860961338666,0.89,66.2,,40.79
69,TikTok,Conversion,Education,Yes,Intermediate,10.0,3429.0,32182.0,149339.0,5,5.48513698016545,1.21,52.8,52572.80635466339,36.14
70,Google Ads,Conversion,Hospitality,No,Intermediate,3.0,8849.0,26611.0,36634.0,5,6.017362589060738,2.47,53.1,,52.43
71,Instagram,Conversion,Hospitality,Yes,Expert,11.0,13883.0,160539.0,216713.0,4,1.5888264231594218,3.29,64.8,57649.17188508911,41.08
72,Instagram,Awareness,Finance,Yes,Expert,14.0,4613.0,64601.0,49168.0,5,4.534798762650603,1.5,34.0,60587.88703668573,32.99
73,Facebook,Consideration,Technology,No,Intermediate,4.0,16175.0,68298.0,39472.0,5,,0.74,24.1,,11.68
74,Instagram,Consideration,Hospitality,Yes,Novice,17.0,4266.0,75550.0,110101.0,5,1.6686023592154617,2.16,87.0,115865.06789755491,11.45
75,Instagram,Conversion,Finance,Yes,Intermediate,27.0,6077.0,154980.0,40231.0,7,4.155246845629417,1.54,75.7,50925.4904661673,39.73
76,Facebook,Consideration,Education,No,Intermediate,24.0,3270.0,81893.0,23975.0,4,2.408450062635697,3.49,70.8,,29.1
77,Email,Awareness,Hospitality,Yes,Intermediate,15.0,3327.0,52152.0,113500.0,5,5.5948425771459025,1.18,23.0,49103.30586431845,29.25
78,Email,Conversion,Finance,No,Intermediate,11.0,14330.0,156035.0,88095.0,5,2.305226031213519,2.94,68.7,,61.95
79,Facebook,Awareness,Hospitality,Yes,Intermediate,21.0,6849.0,145819.0,53384.0,6,3.154540357165848,1.22,71.0,32216.772959601618,2.45
80,Facebook,Consideration,Technology,No,Expert,43.0,1778.0,80463.0,94340.0,7,4.344542544756147,2.16,77.5,,29.01
81,Instagram,Conversion,Technology,No,Expert,23.0,6975.0,166882.0,57038.0,6,6.963054172615407,1.96,68.3,,58.19
82,Google Ads,Conversion,Finance,Yes,Novice,4.0,7330.0,32832.0,72455.0,7,6.200156430163008,0.02,66.3,63014.97824911304,38.66
83,Facebook,Conversion,Retail,No,Novice,11.0,2350.0,27752.0,44486.0,8,3.3870626173452663,1.11,36.9,,19.86
84,Instagram,Awareness,Hospitality,No,Intermediate,29.0,21675.0,646351.0,31422.0,5,1.6014065489890497,1.19,79.7,,-20.73
85,Google Ads,Awareness,Technology,Yes,Intermediate,13.0,5250.0,75424.0,83739.0,7,3.104820986058446,1.83,52.0,50565.10219898924,24.55
86,Google Ads,Consideration,Finance,Yes,Intermediate,4.0,4574.0,17362.0,46369.0,6,6.242643990976703,2.94,73.7,13555.41118157832,48.06
87,TikTok,Conversion,Hospitality,No,Expert,10.0,28002.0,267061.0,35127.0,4,0.05,2.26,65.0,,11.84
88,Google Ads,Conversion,Technology,No,Novice,16.0,6233.0,102433.0,304743.0,3,0.8196393046550781,0.1,34.8,,-11.92
89,Google Ads,Conversion,Retail,No,Expert,6.0,19343.0,111073.0,33919.0,5,0.05,0.52,91.5,,0.81
90,TikTok,Awareness,Technology,Yes,Novice,25.0,9203.0,215134.0,58107.0,6,0.39131008614954776,2.62,40.9,14963.230293156366,-14.86
91,Google Ads,Awareness,Hospitality,No,Intermediate,31.0,14467.0,444250.0,92461.0,8,5.526929221430539,1.45,83.9,,0.96
92,Instagram,Conversion,Technology,No,Novice,11.0,13212.0,157769.0,247642.0,2,3.483420953968762,2.45,56.8,,30.74
93,Facebook,Consideration,Education,No,Intermediate,34.0,8495.0,291206.0,66690.0,5,3.340461587399974,2.34,27.7,,-7.25
94,TikTok,Awareness,Technology,No,Novice,5.0,19911.0,105576.0,127296.0,8,0.8534323095916454,1.74,46.4,,33.87
95,Google Ads,Consideration,Finance,No,Expert,22.0,10465.0,243926.0,39616.0,5,4.436159533066872,1.75,33.5,,23.39
96,Google Ads,Conversion,Finance,No,Intermediate,8.0,6920.0,54092.0,18768.0,8,1.4960770369323129,0.27,87.5,,-2.14
97,Instagram,Consideration,Finance,No,Intermediate,15.0,1375.0,19732.0,142634.0,3,2.862613499658969,1.41,66.1,,15.71
98,Google Ads,Conversion,Technology,Yes,Expert,4.0,2552.0,10668.0,201474.0,6,1.0379545637377765,1.37,32.6,10753.018161515827,35.19
99,Instagram,Conversion,Technology,No,Novice,30.0,6155.0,182204.0,106083.0,4,2.2855604518312402,2.95,53.1,,37.31
100,Instagram,Awareness,Education,No,Novice,13.0,13727.0,169537.0,116432.0,3,4.126565813160857,0.64,24.5,,-12.92
101,TikTok,Conversion,Finance,Yes,Expert,41.0,1080.0,43239.0,178183.0,4,5.594515168331073,0.57,30.2,32936.495667171395,25.43
102,Google Ads,Consideration,Technology,Yes,Expert,3.0,14826.0,44538.0,83131.0,5,0.4785949952692219,1.01,40.3,36664.62203123414,26.63
103,Facebook,Consideration,Finance,No,Expert,12.0,8778.0,101555.0,296609.0,5,3.8680674295771245,2.33,86.3,,49.01
104,Instagram,Awareness,Retail,No,Expert,7.0,2665.0,17713.0,275506.0,6,0.6557395281126248,1.38,63.2,,17.1
105,Facebook,Consideration,Retail,No,Novice,13.0,6874.0,87812.0,201980.0,6,4.51734744097626,2.35,33.1,,40.69
106,TikTok,Consideration,Technology,No,Intermediate,19.0,4891.0,89863.0,84127.0,4,3.5452612223832016,2.05,55.2,,30.05
107,Email,Awareness,Finance,No,Expert,5.0,7896.0,37820.0,59635.0,4,1.8513188360162298,1.78,48.4,,20.11
108,Instagram,Consideration,Finance,No,Novice,9.0,3950.0,35734.0,25718.0,3,2.7446521979679064,3.95,53.4,,47.87
109,Instagram,Awareness,Education,No,Intermediate,58.0,11388.0,669298.0,25282.0,7,3.3139311626965355,2.17,66.5,,25.29
110,Email,Conversion,Retail,No,Novice,6.0,11360.0,65102.0,223262.0,4,3.2593438058017288,1.5,38.9,,3.06
111,TikTok,Awareness,Technology,No,Expert,26.0,19752.0,522907.0,94702.0,3,3.55814369992504,2.42,62.2,,39.37
112,Google Ads,Conversion,Finance,Yes,Expert,8.0,6626.0,54370.0,34996.0,4,5.329883642358926,2.15,58.7,61226.542397106175,66.11
113,Instagram,Conversion,Education,No,Novice,13.0,13251.0,187211.0,18346.0,4,1.131703148492048,0.87,63.4,,-16.31
114,Instagram,Conversion,Hospitality,No,Novice,16.0,8861.0,149442.0,31259.0,8,3.225106284015707,3.46,43.7,,57.64
115,Facebook,Consideration,Technology,No,Novice,14.0,9991.0,141120.0,116417.0,4,3.4073160635665074,2.28,50.4,,28.4
116,Email,Consideration,Hospitality,Yes,Novice,3.0,6481.0,19555.0,129818.0,8,4.655431223501684,1.25,32.0,27500.28945925812,24.2
117,Instagram,Consideration,Technology,No,Intermediate,21.0,10604.0,220464.0,203649.0,7,3.7584406046219243,2.92,56.0,,39.98
118,Google Ads,Consideration,Retail,No,Intermediate,10.0,12313.0,123866.0,220623.0,3,0.82426678869294,2.76,14.1,,28.59
119,Google Ads,Conversion,Technology,Yes,Expert,9.0,15219.0,138122.0,40561.0,5,3.5127185595098287,0.58,67.4,17471.94456861249,36.1
120,Instagram,Awareness,Finance,No,Intermediate,21.0,7804.0,154638.0,167879.0,4,1.8822725607293895,1.89,57.4,,19.22
121,Google Ads,Conversion,Retail,No,Intermediate,30.0,1652.0,49215.0,70996.0,6,3.6385370337164655,1.07,25.2,,30.73
122,Google Ads,Consideration,Education,Yes,Expert,31.0,12594.0,394495.0,112486.0,4,4.481417809619242,1.31,62.9,40956.977610548,25.75
123,TikTok,Consideration,Hospitality,No,Novice,7.0,2134.0,13751.0,64388.0,5,2.363353771856425,3.17,45.7,,19.07
124,TikTok,Consideration,Finance,No,Intermediate,4.0,17853.0,76579.0,209035.0,5,4.383166666313449,3.15,64.6,,39.35
125,Email,Awareness,Hospitality,No,Expert,34.0,14573.0,509211.0,85651.0,3,3.2124417585788123,2.61,39.9,,28.17
126,Email,Conversion,Hospitality,Yes,Intermediate,19.0,4712.0,87743.0,156847.0,3,3.331961917617524,2.41,49.9,26398.905853572604,48.42
127,TikTok,Conversion,Retail,Yes,Intermediate,19.0,12294.0,232636.0,10904.0,3,1.7385776736565377,2.75,38.7,5000.0,25.48
128,Instagram,Awareness,Finance,No,Intermediate,14.0,8971.0,125586.0,182098.0,4,1.929977882299145,1.01,59.7,,-7.4
