property_id,property_type,neighborhood,furnishing_status,property_age_years,size_sqm,num_bedrooms,num_bathrooms,distance_to_cbd_km,service_charge_kes,garage_size_sqm,security_rating,amenities_score,nearby_schools_count,monthly_rent_kes
1,Townhouse,Kilimani,Unfurnished,5.5,78.3,3,3,20.9,14590.0,10.0,3.0,33.2,5,119264.0
2,Apartment,Ngong Road,Fully Furnished,7.3,152.2,5,5,8.0,36488.0,,3.0,29.9,1,139812.0
3,Maisonette,Ngong Road,Unfurnished,6.2,60.2,2,2,21.7,15566.0,12.6,,45.9,1,29930.0
4,Bungalow,Kilimani,Unfurnished,2.6,141.1,5,4,35.4,29692.0,22.6,3.0,10.6,1,140880.0
5,Apartment,Kilimani,Unfurnished,2.6,136.8,4,2,5.6,23097.0,,2.0,45.0,3,135241.0
6,Townhouse,Westlands,Semi-Furnished,1.2,30.9,1,1,27.2,7988.0,16.8,5.0,31.6,4,29931.0
7,Maisonette,South B,Fully Furnished,10.6,151.0,5,5,10.0,26545.0,13.0,4.0,75.7,3,187668.0
8,Apartment,Kilimani,Semi-Furnished,3.3,92.0,3,2,5.9,19799.0,,3.0,66.3,1,113733.0
9,Townhouse,Ruaka,Fully Furnished,13.7,89.0,4,3,5.6,12087.0,16.1,3.0,59.4,3,122384.0
10,Apartment,South B,Fully Furnished,7.7,50.2,2,2,2.7,8418.0,,3.0,43.7,3,40756.0
11,Maisonette,Ngong Road,Unfurnished,8.4,73.9,3,4,6.4,15012.0,15.4,5.0,74.4,1,85324.0
12,Bungalow,Ngong Road,Unfurnished,3.2,112.7,3,2,5.9,13773.0,21.6,5.0,65.3,3,97600.0
13,Studio,Karen,Unfurnished,4.7,49.1,1,2,7.4,6669.0,,3.0,40.2,2,33641.0
14,Apartment,Ngong Road,Unfurnished,2.2,62.3,3,3,11.8,12430.0,,3.0,39.6,0,42618.0
15,Townhouse,Ngong Road,Semi-Furnished,7.9,101.7,3,3,10.6,18923.0,17.2,3.0,73.5,3,137980.0
16,Bungalow,Ngong Road,Unfurnished,4.9,73.3,3,2,5.4,12152.0,19.1,,41.7,1,75394.0
17,Apartment,Ngong Road,Unfurnished,15.8,69.1,2,1,3.8,5788.0,,4.0,81.3,4,42330.0
18,Apartment,Ruaka,Unfurnished,19.4,95.4,3,2,4.0,16999.0,,4.0,70.1,1,63520.0
19,Bungalow,Kilimani,Unfurnished,9.1,91.7,3,2,5.0,20140.0,17.8,4.0,67.5,2,81508.0
20,Apartment,Ruaka,Semi-Furnished,8.7,128.4,4,3,9.6,20294.0,,4.0,43.1,1,138221.0
21,Studio,Kilimani,Unfurnished,3.4,81.6,2,2,9.7,16807.0,,4.0,41.7,1,53016.0
22,Apartment,South B,Semi-Furnished,6.2,96.2,4,4,4.6,18708.0,,5.0,87.4,5,119256.0
23,Apartment,Kilimani,Semi-Furnished,6.2,43.4,2,2,3.7,11335.0,,2.0,53.0,2,44659.0
24,Apartment,Karen,Semi-Furnished,4.8,112.5,3,3,18.2,22110.0,,4.0,38.4,2,85166.0
25,Maisonette,Kilimani,Semi-Furnished,4.2,79.7,3,2,6.4,14274.0,14.1,3.0,75.3,4,104379.0
26,Maisonette,South B,Unfurnished,4.0,57.5,3,3,14.1,10090.0,20.2,3.0,55.4,2,47200.0
27,Bungalow,Karen,Semi-Furnished,6.5,22.0,1,1,4.8,2202.0,2.0,4.0,32.0,3,46929.0
28,Studio,Karen,Fully Furnished,6.9,103.3,1,1,14.2,19164.0,,3.0,37.7,4,61649.0
29,Townhouse,Kilimani,Unfurnished,7.1,84.8,3,2,4.7,18305.0,16.5,2.0,48.2,3,86908.0
30,Maisonette,South B,Unfurnished,2.1,106.3,3,2,12.4,23407.0,12.6,2.0,90.1,3,58092.0
31,Apartment,Kilimani,Semi-Furnished,7.0,68.2,3,2,12.8,9733.0,,3.0,39.0,2,61655.0
32,Bungalow,Westlands,Semi-Furnished,8.8,89.1,3,1,3.9,18252.0,12.5,,57.6,2,107721.0
33,Townhouse,Ngong Road,Unfurnished,5.0,113.9,5,4,7.9,20700.0,11.7,,29.2,1,116752.0
34,Maisonette,Karen,Semi-Furnished,23.8,69.1,2,2,4.8,12777.0,14.1,2.0,40.6,1,68078.0
35,Apartment,Westlands,Unfurnished,0.5,150.3,3,2,7.3,40838.0,,4.0,39.5,1,188778.0
36,Studio,Ngong Road,Unfurnished,8.2,61.1,3,4,2.2,11231.0,,5.0,76.7,2,27323.0
37,Studio,Westlands,Semi-Furnished,2.7,145.6,5,4,26.7,22421.0,,4.0,53.6,2,122239.0
38,Townhouse,Ngong Road,Unfurnished,5.1,88.5,3,2,23.7,11267.0,16.0,3.0,43.8,0,47651.0
39,Maisonette,Westlands,Semi-Furnished,2.6,90.9,3,2,15.8,15533.0,15.5,,59.1,2,107422.0
40,Apartment,Westlands,Semi-Furnished,5.6,62.0,1,2,4.3,13152.0,,4.0,47.7,1,98314.0
41,Studio,Ngong Road,Unfurnished,3.0,22.0,1,1,4.9,5754.0,,5.0,56.7,5,22790.0
42,Apartment,Kilimani,Semi-Furnished,3.8,42.0,1,1,8.7,4106.0,,5.0,52.9,0,30546.0
43,Studio,Ngong Road,Semi-Furnished,13.7,81.1,3,3,9.5,13395.0,,3.0,55.9,1,35064.0
44,Apartment,Ruaka,Unfurnished,4.6,69.6,3,2,6.7,13360.0,,4.0,43.1,4,48178.0
45,Apartment,South B,Semi-Furnished,1.6,127.6,4,4,17.1,19414.0,,3.0,7.9,1,75207.0
46,Apartment,Karen,Fully Furnished,2.3,76.1,3,3,8.0,14702.0,,3.0,78.9,2,127898.0
47,Apartment,Westlands,Semi-Furnished,7.1,138.0,5,4,8.8,21715.0,,3.0,22.2,4,174923.0
48,Bungalow,Karen,Unfurnished,2.7,126.6,4,4,6.7,22380.0,28.6,3.0,46.2,2,263367.0
49,Apartment,Kilimani,Semi-Furnished,0.7,88.0,3,3,9.7,16049.0,,4.0,52.5,0,86854.0
50,Bungalow,Kilimani,Semi-Furnished,11.2,90.6,3,2,16.2,16184.0,25.4,3.0,52.5,0,83058.0
51,Bungalow,Westlands,Unfurnished,8.1,47.2,1,2,4.3,11488.0,7.7,3.0,41.7,0,45546.0
52,Townhouse,Ruaka,Unfurnished,5.7,99.5,3,3,7.5,17643.0,17.3,5.0,58.9,5,120564.0
53,Studio,Westlands,Unfurnished,4.8,89.2,3,3,7.6,10271.0,,3.0,12.2,1,43252.0
54,Maisonette,Kilimani,Fully Furnished,2.0,85.2,3,3,4.0,14632.0,12.3,3.0,43.1,0,93310.0
55,Apartment,South B,Fully Furnished,3.6,111.8,3,3,7.7,18626.0,,4.0,92.7,3,137111.0
56,Bungalow,Kilimani,Semi-Furnished,9.1,45.5,1,2,7.4,4218.0,19.3,2.0,20.8,2,47651.0
57,Townhouse,Ngong Road,Unfurnished,12.5,122.5,4,3,3.4,21977.0,20.1,1.0,78.2,2,124196.0
58,Apartment,Kilimani,Semi-Furnished,6.9,139.9,4,3,2.3,17574.0,,4.0,55.1,3,143079.0
59,Townhouse,Westlands,Unfurnished,9.3,40.0,2,2,9.9,6816.0,25.5,3.0,46.4,0,32732.0
60,Apartment,Karen,Semi-Furnished,4.7,95.8,2,2,4.8,18739.0,,3.0,34.9,3,81164.0
61,Bungalow,Westlands,Unfurnished,7.9,85.0,1,1,25.5,15267.0,10.0,4.0,88.1,3,45304.0
62,Apartment,Ruaka,Unfurnished,13.0,76.1,2,2,3.9,12972.0,,2.0,61.0,1,32851.0
63,Apartment,South B,Unfurnished,3.8,154.9,6,4,5.1,24253.0,,3.0,35.7,4,308759.0
64,Apartment,Karen,Semi-Furnished,22.7,63.7,2,3,16.7,12842.0,,4.0,72.8,1,46533.0
65,Townhouse,Karen,Fully Furnished,6.1,34.1,1,2,15.5,4476.0,22.1,3.0,67.3,4,68651.0
66,Maisonette,Ruaka,Unfurnished,8.9,123.7,3,3,5.4,21211.0,14.5,4.0,60.9,5,127051.0
67,Bungalow,Westlands,Semi-Furnished,3.9,112.8,4,4,5.6,22020.0,18.7,4.0,43.9,2,205932.0
68,Bungalow,Karen,Semi-Furnished,2.6,61.0,2,3,2.4,10104.0,21.3,3.0,41.8,3,117064.0
69,Apartment,Karen,Unfurnished,7.6,59.2,2,2,9.4,11748.0,,3.0,66.7,3,29342.0
70,Studio,Westlands,Unfurnished,9.9,73.3,3,3,2.9,18502.0,,3.0,48.9,1,49993.0
71,Studio,Ruaka,Unfurnished,3.9,48.1,2,2,12.3,10388.0,,4.0,21.9,2,18898.0
72,Townhouse,Ngong Road,Semi-Furnished,5.1,119.3,3,3,7.4,26034.0,10.6,4.0,54.6,0,119237.0
73,Studio,Ruaka,Unfurnished,7.3,56.0,2,2,5.6,9310.0,,3.0,70.4,0,28049.0
74,Maisonette,Kilimani,Unfurnished,7.9,93.5,3,2,5.3,14725.0,6.3,4.0,87.4,2,110421.0
75,Apartment,Westlands,Semi-Furnished,19.2,40.9,2,2,3.0,5539.0,,3.0,84.5,4,45237.0
76,Townhouse,Karen,Unfurnished,11.9,64.5,3,3,13.6,5037.0,24.2,3.0,34.7,4,76006.0
77,Maisonette,Kilimani,Semi-Furnished,1.0,61.9,3,3,6.1,4712.0,10.5,5.0,72.2,5,73664.0
78,Townhouse,Ruaka,Unfurnished,9.4,110.7,4,3,12.2,15094.0,15.3,3.0,65.1,3,166687.0
79,Apartment,South B,Unfurnished,2.4,151.1,5,3,5.6,23311.0,,4.0,51.2,1,171374.0
80,Maisonette,Ruaka,Unfurnished,6.2,105.8,4,4,3.7,18638.0,18.4,3.0,58.8,4,125444.0
81,Studio,Ruaka,Unfurnished,3.7,73.2,1,1,10.1,12304.0,,1.0,92.8,2,190547.0
82,Studio,Westlands,Unfurnished,7.6,63.4,1,1,3.7,8436.0,,5.0,43.5,3,172335.0
83,Studio,Westlands,Unfurnished,2.6,61.5,1,2,5.9,10500.0,,4.0,28.3,3,48573.0
84,Apartment,Westlands,Unfurnished,3.3,41.9,1,1,3.8,8623.0,,,71.6,3,42964.0
85,Townhouse,Karen,Semi-Furnished,17.2,71.4,2,3,9.5,15824.0,18.7,4.0,19.2,3,76955.0
86,Bungalow,Ngong Road,Unfurnished,4.5,77.5,2,1,11.3,9432.0,13.6,4.0,64.5,3,40438.0
87,Apartment,Westlands,Semi-Furnished,1.9,141.2,4,3,5.6,24726.0,,4.0,57.4,5,245588.0
88,Maisonette,South B,Fully Furnished,7.6,106.9,3,3,2.3,14162.0,27.9,4.0,40.5,6,170400.0
89,Apartment,Karen,Unfurnished,12.4,142.2,4,3,39.8,16279.0,,5.0,86.8,4,109085.0
90,Apartment,Karen,Unfurnished,0.9,22.0,1,1,8.5,3799.0,,3.0,23.7,1,24432.0
91,Bungalow,Ngong Road,Fully Furnished,6.0,58.8,2,1,4.6,19648.0,13.4,4.0,62.9,3,41729.0
92,Studio,Westlands,Unfurnished,2.2,97.3,4,3,11.8,17155.0,,,43.0,3,60436.0
93,Apartment,Ngong Road,Semi-Furnished,11.7,97.7,3,2,5.1,16774.0,,4.0,53.9,0,61821.0
94,Bungalow,Kilimani,Unfurnished,4.9,161.6,5,4,7.5,22624.0,5.5,3.0,86.5,0,277009.0
95,Apartment,South B,Unfurnished,7.6,101.0,4,3,19.2,17581.0,,3.0,30.9,2,56897.0
96,Apartment,Westlands,Fully Furnished,8.1,93.8,2,1,5.7,20777.0,,2.0,38.9,3,58956.0
97,Apartment,Ngong Road,Unfurnished,13.7,47.0,2,3,13.8,9370.0,,,31.1,2,42972.0
98,Apartment,Kilimani,Unfurnished,6.4,88.3,3,2,4.1,16394.0,,2.0,27.5,3,94050.0
99,Townhouse,South B,Semi-Furnished,10.9,67.7,1,1,19.9,9146.0,12.1,5.0,49.1,2,36610.0
100,Bungalow,Ngong Road,Fully Furnished,3.2,80.0,3,2,5.0,11871.0,14.3,3.0,32.6,1,95309.0
101,Bungalow,Ngong Road,Semi-Furnished,6.7,106.0,2,2,6.0,13354.0,18.5,4.0,73.0,0,73810.0
102,Maisonette,South B,Unfurnished,7.1,77.3,3,3,13.4,9753.0,15.4,5.0,24.4,0,52993.0
103,Apartment,Kilimani,Unfurnished,3.4,22.0,0,1,6.3,5244.0,,3.0,23.0,3,19210.0
104,Apartment,South B,Semi-Furnished,11.9,111.2,4,4,6.1,26200.0,,4.0,63.5,0,72820.0
105,Bungalow,Westlands,Unfurnished,5.6,55.7,2,2,13.1,13122.0,10.4,3.0,67.1,0,41100.0
106,Studio,Ngong Road,Semi-Furnished,9.1,107.1,3,3,6.4,10821.0,,3.0,38.9,3,66019.0
107,Studio,South B,Semi-Furnished,3.8,90.1,3,3,12.2,12333.0,,5.0,77.1,0,68064.0
108,Apartment,Ruaka,Semi-Furnished,3.9,101.5,3,2,8.7,22057.0,,4.0,23.0,3,88233.0
109,Studio,Kilimani,Unfurnished,8.1,71.1,2,2,12.4,10313.0,,3.0,91.8,2,36525.0
110,Apartment,Westlands,Unfurnished,2.8,68.8,2,2,8.3,6932.0,,,44.7,0,34551.0
111,Townhouse,Ruaka,Semi-Furnished,12.2,65.9,2,2,5.8,12429.0,17.7,3.0,53.4,0,46281.0
112,Apartment,Ngong Road,Semi-Furnished,3.7,101.1,3,2,11.4,15186.0,,3.0,78.2,2,83660.0
113,Maisonette,Kilimani,Semi-Furnished,5.9,123.9,4,3,17.1,26951.0,11.0,1.0,70.9,3,180686.0
114,Bungalow,Westlands,Unfurnished,2.6,47.8,2,2,4.5,5223.0,20.2,4.0,61.8,0,55855.0
115,Studio,South B,Unfurnished,17.5,25.7,0,1,3.7,6692.0,,4.0,56.2,3,11859.0
116,Apartment,Ngong Road,Semi-Furnished,11.7,89.3,2,2,19.2,15834.0,,4.0,100.0,5,48864.0
117,Apartment,Ngong Road,Semi-Furnished,0.7,94.0,4,4,3.1,15009.0,,4.0,70.3,3,158400.0
118,Bungalow,Westlands,Unfurnished,8.6,82.7,3,2,3.0,18721.0,16.0,4.0,77.0,2,79950.0
119,Apartment,South B,Semi-Furnished,13.2,108.4,3,2,4.7,19260.0,,2.0,65.3,1,62250.0
120,Apartment,Kilimani,Unfurnished,8.0,81.9,2,1,23.3,17121.0,,4.0,54.0,3,51009.0
121,Townhouse,Kilimani,Unfurnished,8.7,95.1,3,3,2.9,21843.0,16.9,4.0,45.3,1,121290.0
122,Apartment,Ruaka,Unfurnished,1.8,97.1,3,2,2.1,13955.0,,3.0,43.9,2,65276.0
123,Apartment,Karen,Semi-Furnished,2.7,68.0,2,1,16.4,12174.0,,4.0,42.4,3,63796.0
