store_id,store_format,location_type,delivery_available,store_size_category,store_age_years,store_size_sqm,num_staff,promotions_active,footfall_count,loyalty_program_members,online_order_count,avg_basket_size_kes,local_events_nearby,daily_sales_revenue_kes
1,Supermarket,Street,No,Medium,3.9,130.4,3,3,75.0,26,,1045.345568307063,1,82618.0
2,Hypermarket,Residential,Yes,Small,3.2,209.5,7,1,140.0,49,30.984001226128058,1085.2364124561755,0,87357.0
3,Kiosk,Mall,Yes,Medium,2.6,272.2,7,0,195.0,65,7.7315550067415195,743.5800318312268,0,66932.0
4,Convenience,Residential,No,Medium,3.6,210.3,6,1,262.0,67,,834.9136332348513,0,158860.0
5,Supermarket,Mall,No,Large,4.5,402.8,9,1,237.0,75,,1105.4329270676576,0,280863.0
6,Hypermarket,Mall,No,Medium,5.9,276.4,6,2,245.0,79,,800.2149473000408,2,252811.0
7,Convenience,Street,No,Medium,2.4,255.6,6,1,257.0,55,,1265.7982227728978,0,137612.0
8,Kiosk,Residential,No,Small,4.1,89.2,3,3,242.0,77,,968.9973736919449,0,89248.0
9,Supermarket,Street,Yes,Large,0.6,425.9,9,0,350.0,104,28.292421586414513,1182.3331117058287,1,316961.0
10,Kiosk,Residential,No,Large,8.0,407.1,9,2,192.0,62,,769.1730463135654,0,114578.0
11,Supermarket,Mall,No,Medium,9.9,91.2,1,1,157.0,64,,611.2469899874111,1,139872.0
12,Convenience,Mall,No,Small,3.8,125.4,2,1,178.0,61,,1154.5369253215988,1,132975.0
13,Convenience,Street,No,Medium,15.8,226.5,4,2,65.0,15,,717.7101401483125,0,73996.0
14,Supermarket,CBD,Yes,Medium,5.0,115.2,5,0,237.0,70,16.609966524200487,1280.1951061135862,1,112979.0
15,Convenience,CBD,Yes,Small,2.8,121.6,2,4,100.0,26,43.514633927832634,757.8862136626951,0,69386.0
16,Hypermarket,Mall,No,Medium,2.5,189.2,6,2,315.0,82,,1378.5400137745658,0,205472.0
17,Supermarket,Residential,No,Medium,11.7,192.5,5,3,29.0,5,,1289.6151641973674,0,123028.0
18,Hypermarket,Residential,Yes,Large,7.4,420.7,8,1,180.0,50,19.107106334767487,447.0574037613065,0,167322.0
19,Kiosk,Residential,No,Large,5.0,294.1,8,0,176.0,46,,935.5710586653239,0,120225.0
20,Convenience,Residential,No,Medium,1.2,375.6,7,0,111.0,19,,466.91410786337497,1,56714.0
21,Supermarket,Mall,Yes,Small,4.7,122.5,2,1,249.0,71,4.540357304648666,1258.4775243528447,0,230033.0
22,Convenience,Residential,Yes,Small,7.8,147.7,2,1,308.0,95,17.697369011960017,920.461944660204,1,117907.0
23,Convenience,Residential,No,Small,1.9,138.4,2,1,160.0,45,,475.33579376659276,1,61684.0
24,Hypermarket,Residential,No,Small,3.1,115.6,1,3,61.0,14,,1005.0971491341295,0,106102.0
25,Supermarket,Residential,No,Large,1.7,313.0,7,2,296.0,74,,306.4193231705041,1,136926.0
26,Convenience,CBD,Yes,Medium,1.6,244.4,5,2,97.0,31,20.64298444540737,1018.1884514076285,0,61171.0
27,Supermarket,CBD,No,Small,6.9,123.5,1,1,276.0,77,,677.8731860297657,1,148826.0
28,Convenience,Residential,Yes,Small,2.8,95.8,3,0,161.0,41,18.566832860916552,794.869207176479,0,56305.0
29,Hypermarket,Residential,No,Medium,0.9,381.0,8,0,139.0,46,,923.0344057500264,1,185097.0
30,Hypermarket,Street,No,Medium,3.1,264.4,5,0,184.0,63,,718.812660258528,0,142261.0
31,Kiosk,CBD,No,Large,0.3,303.9,7,0,80.0,23,,1019.8998785611074,0,112912.0
32,Kiosk,Street,Yes,Medium,1.8,264.1,4,2,207.0,64,15.576464386731658,714.6632929317365,1,70310.0
33,Supermarket,CBD,No,Small,16.2,75.2,2,0,130.0,44,,661.246705989605,0,87684.0
34,Supermarket,Mall,Yes,Small,10.9,161.2,1,0,158.0,54,17.785319007172962,1121.3245666968248,0,85102.0
35,Kiosk,Street,No,Small,4.3,144.7,6,2,332.0,110,,596.3792209318253,0,114283.0
36,Convenience,Mall,No,Small,9.8,131.6,4,1,60.0,18,,1006.4397660477651,0,103307.0
37,Convenience,Mall,No,Medium,4.6,158.8,5,3,121.0,48,,1153.393671787696,0,101292.0
38,Convenience,Mall,No,Small,3.3,76.6,3,2,105.0,26,,1043.0915194331767,0,93303.0
39,Supermarket,Residential,Yes,Medium,8.4,135.8,1,0,131.0,35,21.93116003808402,1008.8289300577109,0,125789.0
40,Convenience,CBD,No,Small,7.2,78.1,1,2,117.0,32,,1044.6223428322241,0,75701.0
41,Supermarket,CBD,No,Small,7.3,107.7,1,1,18.0,11,,912.4109428168584,1,35910.0
42,Supermarket,CBD,Yes,Medium,1.9,69.8,2,0,62.0,21,43.75207486860907,1019.1155241944742,0,126208.0
43,Supermarket,Residential,No,Small,4.2,91.4,1,1,72.0,20,,1230.1158069213893,0,93097.0
44,Convenience,Residential,No,Medium,3.9,303.7,9,1,212.0,69,,454.4649631689537,0,91835.0
45,Supermarket,Mall,No,Large,6.8,441.8,8,0,193.0,47,,883.4954631339288,0,206339.0
46,Supermarket,Residential,No,Medium,1.7,277.5,9,0,130.0,48,,434.94132474585,0,113174.0
47,Supermarket,Residential,No,Medium,3.3,161.7,5,1,343.0,102,,426.8018498799022,1,171700.0
48,Convenience,CBD,Yes,Small,10.6,134.0,2,0,69.0,19,31.098561003107022,,1,367927.0
49,Convenience,Residential,Yes,Medium,7.6,177.4,3,1,268.0,64,35.18115247946255,1430.2030814649845,1,125889.0
50,Supermarket,Mall,No,Small,3.9,96.8,3,4,433.0,111,,668.6153946014472,0,211253.0
51,Kiosk,Street,Yes,Small,2.2,147.7,5,0,189.0,49,30.694385532012213,1135.7545005873174,0,56715.0
52,Supermarket,Residential,No,Large,6.9,407.6,7,1,64.0,23,,1397.1620864942267,0,156321.0
53,Hypermarket,Mall,No,Medium,3.9,115.4,2,0,158.0,51,,1709.1207756359813,0,173201.0
54,Convenience,CBD,No,Small,2.1,90.0,2,2,292.0,83,,1015.3449280233629,0,157819.0
55,Convenience,CBD,No,Small,4.3,154.4,4,4,92.0,24,,946.9415883215752,1,75075.0
56,Supermarket,Residential,No,Small,5.5,116.1,3,1,242.0,69,,1128.3232971417383,0,130829.0
57,Supermarket,Mall,No,Small,7.3,145.4,4,1,347.0,115,,1145.438114236448,1,150989.0
58,Supermarket,Residential,No,Medium,2.0,116.7,1,0,238.0,76,,1407.7687613491667,1,179877.0
59,Convenience,Residential,Yes,Medium,3.5,241.7,6,3,98.0,29,19.435515683686802,611.8312685838939,0,90404.0
60,Kiosk,Residential,No,Small,10.8,201.0,6,3,133.0,47,,1150.4687163748981,0,81258.0
61,Supermarket,CBD,No,Medium,2.6,201.7,4,3,132.0,38,,945.8672634445649,1,207883.0
62,Hypermarket,Residential,No,Small,3.1,100.6,1,3,238.0,81,,742.0332992192351,2,266446.0
63,Supermarket,CBD,No,Small,8.7,157.3,5,0,207.0,79,,100.0,0,61970.0
64,Convenience,Mall,Yes,Large,10.8,183.3,1,3,259.0,78,38.2103008261855,848.6332434629643,0,270515.0
65,Hypermarket,Mall,No,Medium,9.6,202.1,1,1,169.0,54,,1048.9734892485321,0,112783.0
66,Supermarket,Residential,No,Medium,9.3,226.8,4,3,98.0,25,,1190.7959486219363,0,154221.0
67,Convenience,Mall,No,Small,2.0,115.9,2,1,44.0,11,,693.6575668747837,2,51276.0
68,Convenience,Street,No,Small,7.7,70.8,3,0,61.0,15,,667.7626899415752,0,26606.0
69,Convenience,Mall,No,Medium,9.9,183.3,5,2,194.0,60,,1056.6033671679825,0,183606.0
70,Supermarket,Residential,No,Small,3.6,112.2,3,3,277.0,82,,908.8779970190991,1,111384.0
71,Supermarket,Street,Yes,Small,0.8,169.8,4,3,181.0,49,50.634812129878625,835.8442242014115,0,104078.0
72,Supermarket,CBD,Yes,Large,6.3,588.4,10,1,83.0,22,46.27897111033076,802.2441375874205,2,147408.0
73,Kiosk,Residential,Yes,Small,8.4,56.9,1,1,146.0,54,20.324156490757876,1533.2020896913964,0,80537.0
74,Supermarket,Street,Yes,Large,4.9,242.4,5,2,59.0,14,85.81707366030284,1326.6805330889506,1,107855.0
75,Convenience,Street,Yes,Medium,0.6,192.7,5,3,177.0,56,27.2855496749252,1291.6832568976633,0,112578.0
76,Convenience,Residential,Yes,Small,3.5,104.5,1,2,110.0,31,56.09201720773621,1685.8200041504142,1,59870.0
77,Convenience,CBD,Yes,Medium,9.1,327.2,8,0,229.0,56,19.366942835884934,1021.7660671255856,3,707769.0
78,Hypermarket,Residential,Yes,Small,0.8,115.7,1,1,142.0,48,50.56768544783008,1414.221254715801,1,117566.0
79,Convenience,Mall,No,Medium,1.5,326.7,8,2,232.0,72,,1267.5435449924012,0,182644.0
80,Hypermarket,CBD,No,Large,6.1,491.0,14,1,189.0,66,,1181.6767551761595,2,391593.0
81,Supermarket,CBD,Yes,Medium,2.0,338.9,6,2,441.0,135,48.13972043531605,859.1817472414396,2,234795.0
82,Hypermarket,Mall,No,Medium,2.3,281.6,5,1,71.0,19,,1120.7988781768315,0,208693.0
83,Convenience,Mall,No,Small,9.1,162.1,3,0,89.0,34,,346.1707391824874,0,41879.0
84,Supermarket,Residential,No,Small,7.3,187.9,5,0,105.0,30,,934.8733042719641,0,45659.0
85,Convenience,Mall,No,Medium,5.3,188.1,5,1,81.0,28,,1054.3015090399979,0,91955.0
86,Convenience,Residential,Yes,Large,12.0,341.6,6,2,274.0,76,25.75837683989143,829.953717665714,0,229644.0
87,Kiosk,Mall,Yes,Small,6.1,116.6,3,0,246.0,83,16.562483084214353,737.5984893996618,0,93536.0
88,Convenience,Mall,No,Small,3.8,136.2,1,3,97.0,34,,963.8165783836641,0,107853.0
89,Kiosk,Street,Yes,Medium,10.6,127.7,3,1,416.0,140,55.71101353376221,568.6958884144846,0,77536.0
90,Supermarket,CBD,Yes,Small,11.7,113.4,3,3,201.0,67,26.75133173441974,983.8445826989222,0,144520.0
91,Supermarket,Mall,Yes,Medium,2.3,267.0,8,3,210.0,68,16.402357863831046,1428.5602281280994,0,275540.0
92,Hypermarket,Street,No,Medium,3.5,179.1,7,0,107.0,36,,1466.002318899218,0,514018.0
93,Supermarket,Street,No,Medium,6.5,351.0,7,1,46.0,15,,100.0,1,38977.0
94,Hypermarket,Mall,No,Medium,1.6,278.2,6,1,184.0,64,,1750.6907273436605,2,415048.0
95,Supermarket,Mall,No,Small,0.9,139.2,3,0,287.0,87,,1245.6824757476056,0,188019.0
96,Kiosk,CBD,No,Medium,4.6,234.4,5,0,384.0,115,,283.8331613674761,0,83168.0
97,Convenience,Residential,Yes,Medium,1.6,261.6,7,2,110.0,38,18.69639482019243,1664.5481820147365,1,189342.0
98,Hypermarket,Residential,No,Medium,0.7,190.4,2,1,193.0,56,,913.4643496851467,0,143844.0
99,Supermarket,Residential,No,Large,0.9,501.6,11,1,270.0,85,,1515.3592493557896,3,273929.0
100,Kiosk,Street,Yes,Small,6.1,153.3,6,1,109.0,36,29.522089166500304,967.7427011267753,3,73786.0
101,Kiosk,Mall,No,Large,9.2,230.2,6,0,190.0,46,,861.7217672920551,0,149392.0
102,Convenience,CBD,No,Small,5.9,38.0,2,0,101.0,25,,285.22802064854227,2,33387.0
103,Supermarket,CBD,No,Large,7.5,302.9,7,1,133.0,49,,992.029896903321,0,133565.0
104,Hypermarket,Mall,Yes,Small,2.1,148.2,4,0,177.0,57,27.008843953075242,615.2052240980375,1,103433.0
105,Convenience,CBD,No,Small,3.3,120.6,2,3,122.0,46,,517.718256029046,2,98219.0
106,Supermarket,Residential,Yes,Large,5.5,198.1,4,3,163.0,42,29.13422894786232,577.1575548017992,0,195126.0
107,Supermarket,Street,No,Medium,2.6,258.9,5,0,360.0,103,,1091.903657916093,0,207858.0
108,Supermarket,CBD,No,Medium,7.7,26.6,1,1,106.0,31,,1215.8153374164435,1,161170.0
109,Kiosk,Residential,No,Medium,6.7,244.6,4,1,68.0,17,,1172.8021384255221,0,51547.0
110,Convenience,CBD,Yes,Large,5.5,311.9,7,1,225.0,78,25.12458852237194,1317.424419839268,0,161623.0
111,Kiosk,Residential,No,Medium,5.3,234.9,4,0,273.0,83,,942.1831251211721,1,123888.0
112,Kiosk,CBD,No,Small,2.4,82.4,6,2,104.0,26,,239.89021665782127,1,64723.0
113,Convenience,Residential,No,Large,1.2,588.3,13,0,328.0,115,,798.2804677257014,0,194445.0
114,Supermarket,CBD,Yes,Large,1.7,324.7,7,2,70.0,26,9.280107724760752,664.2500052505657,0,215314.0
115,Convenience,Residential,Yes,Small,4.4,144.2,3,5,125.0,43,45.314012405790464,987.3568526280152,0,91950.0
116,Kiosk,Mall,No,Small,1.4,127.6,1,2,129.0,27,,1123.5156869515195,0,85169.0
117,Kiosk,Residential,No,Medium,10.4,286.1,7,0,193.0,61,,400.4322700371738,1,64847.0
118,Supermarket,Mall,No,Large,8.1,375.8,8,0,158.0,54,,1243.0463251570657,1,344741.0
119,Kiosk,Street,Yes,Medium,6.2,298.9,6,0,123.0,38,24.145841517492705,1193.2773842315232,0,120959.0
120,Hypermarket,Street,No,Small,10.1,98.6,6,3,95.0,25,,804.1094109689054,1,74459.0
121,Supermarket,Residential,No,Medium,6.8,165.6,4,2,113.0,27,,1071.3009370974755,0,106347.0
122,Supermarket,Street,Yes,Large,7.8,240.4,5,0,71.0,24,28.73814035407453,623.966688470282,1,166873.0
123,Kiosk,Residential,No,Small,6.7,62.4,1,1,191.0,62,,920.9456725333264,2,43668.0
124,Supermarket,CBD,No,Large,7.5,397.9,7,0,132.0,46,,1255.547661968017,0,148723.0
125,Hypermarket,Mall,No,Medium,5.5,352.3,10,1,159.0,58,,1224.4394507229442,1,219488.0
126,Supermarket,Residential,No,Large,8.0,334.2,7,3,88.0,34,,847.3296554387719,1,120370.0
127,Hypermarket,Street,No,Medium,9.6,422.3,8,0,157.0,50,,751.4554844860735,1,113808.0
128,Convenience,CBD,Yes,Small,22.0,81.6,1,0,169.0,69,30.197605693199986,1035.4213387342234,2,67100.0
129,Hypermarket,Mall,No,Small,11.7,178.7,3,3,114.0,28,,504.15326960129147,0,97851.0
130,Supermarket,Residential,No,Large,3.2,289.3,6,0,227.0,76,,711.5298974391974,0,135859.0
131,Convenience,CBD,Yes,Medium,3.8,335.3,5,1,47.0,11,20.350337730659266,1371.1384802456682,0,113049.0
132,Hypermarket,Mall,No,Large,6.6,249.8,5,1,437.0,145,,648.0155212131923,0,352689.0
133,Hypermarket,Street,No,Small,10.8,235.5,5,0,42.0,9,,835.714589709969,0,36878.0
134,Supermarket,CBD,No,Medium,4.8,185.2,5,0,355.0,124,,100.0,0,138365.0
135,Hypermarket,Street,Yes,Small,10.7,35.4,3,1,267.0,82,41.1241888326672,731.6781733517757,1,90088.0
136,Hypermarket,Mall,No,Medium,4.1,309.3,6,4,112.0,42,,368.95554997973704,0,197045.0
137,Kiosk,Residential,Yes,Small,11.4,101.5,2,2,25.0,11,23.180327850541765,1035.3240694911715,0,28841.0
138,Supermarket,Residential,Yes,Medium,4.1,184.9,5,0,146.0,48,9.816846651585436,902.147022620412,1,106524.0
139,Kiosk,Residential,No,Large,2.0,317.0,7,1,369.0,112,,983.4071755127075,1,170358.0
140,Convenience,CBD,Yes,Small,4.6,41.4,1,2,133.0,42,52.19555816411434,951.0898084339432,1,82763.0
141,Kiosk,Street,Yes,Small,5.5,97.3,2,3,124.0,40,56.54664035516289,1398.5251148964715,0,44698.0
142,Kiosk,CBD,Yes,Medium,1.9,377.4,10,1,96.0,37,41.18147544361803,746.5254593653567,0,101844.0
143,Supermarket,Street,No,Medium,2.8,359.0,8,1,193.0,53,,772.7738975343469,1,101000.0
144,Kiosk,Mall,Yes,Medium,2.6,258.2,6,1,149.0,44,11.990205194362701,637.7758886358965,2,92783.0
145,Hypermarket,Street,Yes,Medium,4.6,281.4,7,2,244.0,73,51.34193833651297,601.4354952998475,2,130874.0
146,Kiosk,Street,No,Medium,2.8,71.6,1,2,308.0,99,,793.5842942607202,1,131397.0
147,Supermarket,Mall,Yes,Small,2.9,115.0,3,2,344.0,109,27.883236751244556,1187.6881152799006,1,160230.0
148,Supermarket,Residential,Yes,Medium,5.2,352.6,6,0,164.0,51,36.03520252318212,697.7751485831712,2,128379.0
