applicant_id,sector,county,quarter,loan_purpose,owner_education_level,business_age_years,num_employees,monthly_revenue_kes,loan_amount_kes,loan_term_months,interest_rate_pct,collateral_value_kes,debt_to_income_ratio,credit_score,num_previous_loans,missed_payments_count,online_presence_score,customer_satisfaction_score,competitor_density,credit_risk_category
1,Manufacturing,Nairobi,Q3,Equipment Purchase,Primary,4.3,6,4012603.0,2911383.0,24,15.23,2003454.0,0.633,645.0,0,1,61.5,2.7,4,Low
2,Services,Mombasa,Q4,Inventory Financing,Secondary,3.4,9,1309003.0,3189173.0,60,17.11,,0.295,499.0,1,0,46.8,4.3,7,High
3,Services,Other,Q2,Business Expansion,Diploma,9.3,10,3756994.0,4113981.0,18,17.77,2037281.0,0.298,684.0,1,1,99.2,1.0,5,Low
4,Retail,Eldoret,Q1,Working Capital,Bachelors,5.9,10,1257491.0,1032098.0,24,14.52,1050569.0,0.093,632.0,0,0,64.9,2.4,8,Low
5,Hospitality,Kisumu,Q3,Business Expansion,Diploma,5.5,6,1283039.0,3636337.0,48,21.63,6000505.0,0.343,681.0,3,1,39.5,3.4,2,Low
6,Services,Kisumu,Q3,Working Capital,Bachelors,0.9,6,801463.0,1462930.0,48,12.39,1579875.0,0.835,657.0,2,1,54.1,5.0,10,Medium
7,Retail,Nakuru,Q1,Equipment Purchase,Diploma,4.5,11,1544872.0,3418132.0,12,17.44,5460152.0,0.353,706.0,4,1,36.0,3.5,6,Low
8,Services,Nakuru,Q3,Working Capital,Diploma,9.6,8,6819038.0,18623187.0,60,14.99,,0.266,692.0,2,1,100.0,3.1,8,Medium
9,Services,Nairobi,Q1,Equipment Purchase,Diploma,2.4,7,5303077.0,13894751.0,6,14.96,5505686.0,0.564,545.0,2,0,92.3,3.8,9,Low
10,Agriculture,Nairobi,Q2,Equipment Purchase,Diploma,10.1,7,1932729.0,5350382.0,24,15.31,6194886.0,0.57,646.0,1,0,51.3,2.9,7,Low
11,Hospitality,Nairobi,Q1,Business Expansion,Bachelors,6.0,11,2403175.0,2946702.0,36,22.67,3087607.0,0.269,663.0,3,1,19.2,3.7,1,Low
12,Hospitality,Eldoret,Q4,Equipment Purchase,Masters,5.9,3,3604729.0,7724142.0,36,13.69,3651934.0,0.246,,3,0,41.0,4.1,11,Low
13,Retail,Nakuru,Q3,Business Expansion,Secondary,7.3,9,889126.0,1993830.0,18,10.18,2316797.0,0.545,,1,1,62.5,3.1,4,Low
14,Agriculture,Eldoret,Q2,Business Expansion,Diploma,3.3,8,1275283.0,856742.0,24,19.03,1285441.0,0.508,643.0,3,0,49.7,3.4,6,Medium
15,Agriculture,Nairobi,Q3,Working Capital,Secondary,4.4,8,1497196.0,3892777.0,6,16.68,4228141.0,0.303,,3,0,69.7,2.9,5,Low
16,Agriculture,Other,Q2,Business Expansion,Secondary,9.7,10,545818.0,1109653.0,60,17.03,1021786.0,0.566,624.0,2,0,14.5,3.8,4,Medium
17,Technology,Mombasa,Q4,Business Expansion,Masters,11.8,5,1124093.0,540794.0,36,17.86,721444.0,0.793,558.0,3,0,10.9,3.3,7,Medium
18,Services,Other,Q3,Business Expansion,Certificate,10.2,8,1222684.0,2443779.0,24,21.4,3849156.0,0.38,540.0,0,0,57.1,4.9,3,Low
19,Manufacturing,Kisumu,Q1,Equipment Purchase,Diploma,12.4,5,1515125.0,1983284.0,36,13.47,1981267.0,0.199,723.0,2,1,40.6,5.0,9,Low
20,Technology,Kisumu,Q2,Working Capital,Secondary,10.4,4,1587851.0,4024578.0,24,14.75,6194354.0,0.195,600.0,0,0,89.3,2.4,2,Low
21,Retail,Other,Q2,Inventory Financing,Diploma,1.2,5,373075.0,1186923.0,6,18.05,,0.155,531.0,1,0,39.5,4.4,6,High
22,Retail,Nakuru,Q3,Inventory Financing,Primary,6.8,13,2297389.0,4999388.0,18,14.92,2680042.0,0.186,594.0,2,0,27.6,4.3,8,Low
23,Manufacturing,Nakuru,Q4,Inventory Financing,Diploma,1.3,9,1161046.0,2199543.0,48,16.37,1167584.0,0.654,503.0,0,1,46.7,4.6,6,High
24,Retail,Nairobi,Q1,Equipment Purchase,Masters,2.1,9,2179552.0,6857860.0,36,11.92,11192899.0,0.57,,1,2,28.4,3.0,8,Low
25,Retail,Kisumu,Q1,Inventory Financing,Diploma,1.7,8,2348177.0,5226642.0,18,14.01,,0.292,600.0,1,1,48.4,3.5,3,Medium
26,Agriculture,Mombasa,Q1,Inventory Financing,Diploma,2.5,11,1447222.0,2026272.0,48,18.1,1095887.0,0.455,597.0,3,0,80.9,2.9,7,Medium
27,Agriculture,Nairobi,Q4,Equipment Purchase,Diploma,5.3,9,5292592.0,12443844.0,18,8.0,4186991.0,0.242,550.0,2,1,45.5,2.9,4,Low
28,Technology,Nairobi,Q3,Inventory Financing,Secondary,2.3,7,540902.0,1385231.0,60,16.85,,0.294,637.0,2,0,23.0,2.5,6,Medium
29,Manufacturing,Mombasa,Q2,Inventory Financing,Bachelors,5.6,5,1637724.0,2779161.0,48,8.33,3579033.0,0.297,,2,2,37.4,3.7,5,Low
30,Agriculture,Nairobi,Q2,Working Capital,Certificate,9.6,7,1868617.0,5738662.0,12,22.85,,0.625,616.0,0,1,67.5,2.7,6,Medium
31,Agriculture,Eldoret,Q3,Working Capital,Secondary,6.4,10,4269603.0,6373854.0,18,19.29,5361312.0,0.319,599.0,1,1,40.4,4.5,3,Low
32,Retail,Nairobi,Q4,Equipment Purchase,Diploma,0.9,7,1477772.0,3998096.0,12,20.49,4836070.0,0.431,585.0,3,0,64.7,4.0,9,Low
