student_id,major_subject,parental_education_level,internet_access_quality,part_time_job,study_group_participation,study_hours_per_week,attendance_rate_pct,previous_gpa,sleep_hours_per_night,extracurricular_activities_count,stress_level_score,tutoring_hours_per_week,distance_from_home_km,part_time_job_hours_per_week,final_exam_score
1,Sciences,Master's,Good,No,Yes,4.1,92.5,2.0765692739141612,6.3,2,6.0,1.1,5.1,,73.0
2,Engineering,Master's,Good,No,No,8.8,100.0,1.9222978904739658,7.3,1,7.0,1.2,4.9,,79.1
3,Humanities,High School,Good,Yes,No,7.0,80.5,2.308588245553846,6.7,3,6.0,0.5,5.7,24.29941587161969,73.9
4,Humanities,Doctorate,Average,No,Yes,5.4,83.8,2.4484350368870706,7.3,0,6.0,1.2,6.5,,80.3
5,Business,Master's,Poor,No,No,11.6,78.4,2.218870381367419,7.1,0,2.0,2.6,18.2,,78.9
6,Sciences,Bachelor's,Average,Yes,Yes,7.8,100.0,3.139659483969748,7.4,3,2.0,4.6,3.8,9.182637968728422,100.0
7,Sciences,High School,Average,Yes,No,6.4,82.5,4.0,6.9,1,5.0,0.3,13.9,12.404605861660933,89.6
8,Humanities,Bachelor's,Average,No,No,7.8,69.9,2.0995245729065606,5.6,1,3.0,1.6,0.4,,71.8
9,Sciences,Master's,Good,Yes,Yes,2.7,72.8,2.370769494445107,7.3,1,8.0,0.0,4.1,20.517011917415445,74.2
10,Business,Bachelor's,Average,Yes,Yes,8.7,92.1,2.6711599573120677,6.2,2,6.0,2.6,6.6,17.850702273780534,94.7
11,Engineering,Master's,Excellent,Yes,Yes,2.7,66.2,2.6996181732627647,7.3,2,5.0,1.1,3.6,19.804035301183553,76.9
12,Sciences,Doctorate,Good,No,No,5.1,67.4,2.587208929887172,7.0,2,4.0,0.8,12.8,,85.5
13,Humanities,Bachelor's,Excellent,Yes,Yes,11.3,94.5,3.776156812738658,4.2,1,5.0,1.5,4.5,19.7896486761376,100.0
14,Humanities,High School,Excellent,No,No,0.7,92.0,3.1661177784305106,4.5,3,7.0,0.0,4.0,,95.2
15,Sciences,High School,Excellent,No,No,5.0,78.5,3.3688875866292163,6.7,0,4.0,1.1,15.8,,69.7
16,Humanities,Master's,Average,No,Yes,7.7,82.2,2.402630059218624,6.5,3,5.0,0.2,2.9,,79.5
17,Sciences,Bachelor's,Good,No,Yes,1.1,78.9,3.2682884737948097,7.1,1,7.0,0.7,6.7,,77.3
18,Humanities,Bachelor's,Excellent,Yes,No,3.1,71.1,2.263645330937986,6.6,2,4.0,1.4,2.8,3.951674455006568,83.9
19,Humanities,Bachelor's,Average,No,No,7.4,73.9,3.3731773474074367,4.4,3,5.0,0.0,6.6,,83.1
